gv2,hsb,pfa,ser,total
0.828146111,0.124445919,0.047407969,0,258.7535114
0.820367718,0.123277056,0.056355226,0,261.2069071
0.570578303,0.273268353,0.156153344,0,78.55725778
0.137303509,0.624711252,0.237985239,0,51.54512348
0.157175104,0.536343116,0.30648178,0,40.02514768
0.163581199,0.496180645,0.340238156,0,43.26491298
0.167438472,0.571365754,0.261195773,0,37.57175198
0.048372946,0.146726638,0.083843793,0.721056623,146.3075326
0.61017328,0.056147882,0.179673221,0.154005618,573.5001527
0.532276003,0.053323583,0.207200207,0.207200207,402.5838346
0.685550018,0.051508967,0.145206232,0.117734783,625.1497594
0.751274093,0.025087627,0.11181914,0.11181914,855.6892202
0.793130456,0.029796025,0.09534728,0.08172624,1080.708541
0.737788696,0.036955956,0.12107475,0.104180598,871.3296178
0.806635574,0.020202253,0.092353158,0.080809014,1062.614747
0.782472368,0.029395626,0.105264337,0.082867669,1095.428915
0.788432027,0.019746344,0.106066077,0.085755552,1087.148704
0.79133399,0.029728536,0.095131315,0.083806159,1083.161936
0.797429928,0.019971697,0.100429106,0.082169269,1074.881726
0.748323945,0.037483668,0.117091839,0.097100549,859.0626393
0.807101439,0.040427842,0.078545522,0.073925197,1062.001398
0.946494365,0.023705028,0.024382315,0.005418292,905.5974223
0.942981687,0.035425579,0.021592734,0,908.9708414
0.901320881,0.067720964,0.030958155,0,475.4926214
