,Chiller 1,Chiller 2,Chiller 3,ep_1,ep_2,ep_3,cp_1,cp_2,cp_3,dist_pump,Obj_func
0,0,399.8143992,0,0,17.790842,0,0,112.842491,0,27.64769157,558.0954238
1,48.40847973,0,0,5.35391,0,0,34.213594,0,0,15.06930818,103.0452919
2,43.11680021,0,0,5.35391,0,0,34.213594,0,0,12.49441606,95.17872027
3,37.40158722,0,0,5.35391,0,0,34.213594,0,0,9.732514535,86.70160576
4,37.28140737,0,0,5.35391,0,0,34.213594,0,0,9.982730566,86.83164194
5,37.26942194,0,0,5.35391,0,0,34.213594,0,0,10.01740734,86.85433328
6,34.24200593,0,0,5.35391,0,0,34.213594,0,0,9.632492687,83.44200262
7,34.49960279,0,0,5.35391,0,0,34.213594,0,0,9.17932213,83.24642892
8,39.19659988,0,0,5.35391,0,0,34.213594,0,0,12.77459392,91.5386978
9,43.55710186,0,0,5.35391,0,0,34.213594,0,0,10.05883165,93.18343751
10,61.16649468,0,0,5.35391,0,0,34.213594,0,0,24.94993514,125.6839338
11,60.68647928,0,0,5.35391,0,0,34.213594,0,0,16.20812613,116.4621094
12,65.46533894,0,0,5.35391,0,0,34.213594,0,0,16.68112905,121.713972
13,72.23249319,418.5724031,0,5.897715,18.83886,0,34.669997,113.259111,0,62.72620475,726.196784
14,70.08030215,0,0,5.35391,0,0,34.213594,0,0,18.08589686,127.733703
15,73.34892174,0,0,5.35391,0,0,34.213594,0,0,16.9718484,129.8882741
16,0,411.776638,0,0,17.790842,0,0,112.842491,0,28.84121893,571.2511899
17,67.19737945,414.2029395,0,5.897715,18.83886,0,34.669997,113.259111,0,62.22843088,716.2944328
18,0,407.6445236,0,0,17.790842,0,0,112.842491,0,28.48835885,566.7662155
19,0,406.2052859,0,0,17.790842,0,0,112.842491,0,28.30245932,565.1410782
20,0,404.933899,0,0,17.790842,0,0,112.842491,0,27.97808342,563.5453154
21,0,403.6404869,0,0,17.790842,0,0,112.842491,0,27.57888595,561.8527059
22,54.99988954,405.2027559,0,5.897715,18.83886,0,34.669997,113.259111,0,61.53887773,694.4072062
23,49.61126529,0,0,5.35391,0,0,34.213594,0,0,14.88584921,104.0646185
