,evap_flow,T_evap_in,T_WB,ss_gv2_demand,ss_hsb_demand,ss_pfa_demand,ss_ser_demand
0,415.226589,281.9273407,22.47434912,499.1,300,50,0
1,415.226589,281.9482727,22.47434912,499.1,300,60,0
2,217.3903135,281.5434604,22.47434912,104.3988991,200,50,0
3,217.3903135,281.590978,22.07528905,16.4840367,300,50,0
4,217.3903135,281.1905866,20.53862231,14.65247706,200,50,0
5,217.3903135,281.2371071,19.01665621,16.4840367,200,60,0
6,217.3903135,281.1512676,18.45060888,14.65247706,200,40,0
7,217.3903135,282.8885044,19.39113708,16.4840367,200,50,430
8,633.6169025,282.7386235,19.84464425,815.0440367,300,420,360
9,415.226589,283.0367395,22.09284342,499.1,200,340,340
10,633.6169025,282.8385543,23.2820209,998.2,300,370,300
11,1043.843491,282.1976896,23.2820209,1497.3,200,390,390
12,1235.679767,282.2965123,23.78992925,1996.4,300,420,360
13,1043.843491,282.2968793,23.78992925,1497.3,300,430,370
14,1235.679767,282.2058068,24.22544387,1996.4,200,400,350
15,1235.679767,282.3383764,24.22544387,1996.4,300,470,370
16,1235.679767,282.2755803,23.78992925,1996.4,200,470,380
17,1235.679767,282.3034897,23.78992925,1996.4,300,420,370
18,1235.679767,282.2406935,23.78992925,1996.4,200,440,360
19,1043.843491,282.2555503,23.78992925,1497.3,300,410,340
20,1235.679767,282.2825576,23.44221012,1996.4,400,340,320
21,1043.843491,282.0564269,23.44221012,1996.4,200,90,20
22,1043.843491,282.1142876,23.44221012,1996.4,300,80,0
23,633.6169025,282.0052965,23.44221012,998.2,300,60,0
24,412.226589,281.2970765,18.45060888,12.32345679,200,80.75342466,0
25,220.3903135,281.1805903,18.45060888,20.02561728,200,10,0
26,220.3903135,280.9772116,17.51007834,16.94475309,200,4.6875,0
27,220.3903135,280.3676493,17.00064316,12.32345679,200,5.3125,0
28,220.3903135,280.3501731,17.00064316,13.86388889,200,80,0
29,220.3903135,280.3484309,16.56490642,12.32345679,200,4.838709677,0
30,220.3903135,280.2932255,17.00064316,13.86388889,100,5.161290323,0
31,220.3903135,280.3346798,17.95255691,12.32345679,200,10,0
32,220.3903135,280.9643851,18.45060888,254.1712963,200,320,400
33,220.3903135,280.6813154,18.91616356,116.5781022,100,270,360
34,220.3903135,282.2229953,18.30659025,382.5218978,200,240,360
35,220.3903135,281.4390921,18.91616356,1497.3,200,300,390
36,220.3903135,281.6731327,17.87037826,1497.3,100,370,380
37,630.6169025,281.7260412,17.87037826,1497.3,200,380,390
38,220.3903135,281.8325448,17.80421156,1497.3,100,360,380
39,220.3903135,281.7036192,17.87037826,998.2,200,350,380
40,412.226589,281.4975412,17.87037826,1497.3,100,330,380
41,630.6169025,281.6596678,17.95255691,1497.3,100,360,370
42,412.226589,281.4261575,18.45060888,998.2,200,320,380
43,412.226589,281.4017368,18.60288878,1497.3,100,270,370
44,412.226589,281.34222,18.60288878,1497.3,200,240,350
45,412.226589,281.2796332,18.60288878,1497.3,200,100,30
46,630.6169025,281.5803349,18.60288878,998.2,200,6.201550388,0
47,220.3903135,281.1621092,17.51007834,499.1,200,73.79844961,0
48,220.3903135,281.3023485,2.362028848,499.1,25,20,3.9
49,220.3903135,281.0544373,1.725689478,223.2101197,25,10,3.9
50,220.3903135,281.0214355,0.874409359,153.151469,33.33333333,20,3.9
51,220.3903135,281.0057224,0.433414603,9.232535365,22.22222222,20,3.9
52,220.3903135,281.3054429,0.433414603,4.88781284,22.22222222,20,3.8
53,220.3903135,281.0038595,0.433414603,4.344722524,22.22222222,20,3.9
54,220.3903135,280.6179949,-0.22443459,4.344722524,18.18181818,10,3.9
55,220.3903135,281.0241532,-0.22443459,4.88781284,18.18181818,20,3.9
56,412.226589,282.6077817,0.058060128,95.04080522,18.18181818,90,3.9
57,220.3903135,283.478659,1.376481339,53.95675676,27.27272727,50,3.9
58,412.226589,282.6252612,2.576956901,445.1432432,18.18181818,60,3.9
59,1040.843491,282.1232973,3.791971814,247.2882175,16.66666667,60,3.9
60,1040.843491,282.090234,4.359476569,251.8117825,41.66666667,90,3.9
61,1040.843491,282.1894238,5.530563542,998.2,41.66666667,110,3.9
62,1040.843491,282.0819682,4.967963106,240.9448276,23.07692308,160,3.9
63,822.4531779,282.1680593,5.765174194,258.1551724,23.07692308,110,3.9
64,1040.843491,282.0571708,4.967963106,499.1,30.76923077,110,3.9
65,1040.843491,282.0737024,4.702391039,998.2,23.07692308,80,3.9
66,630.6169025,282.7429346,4.118448159,499.1,16.66666667,90,3.9
67,822.4531779,282.4915642,3.804546407,499.1,25,70,3.9
68,822.4531779,282.5438943,3.804546407,499.1,16.66666667,50,3.8
69,822.4531779,282.0624571,3.804546407,499.1,16.66666667,20,3.9
70,630.6169025,281.7952083,2.5276793,998.2,25,20,3.9
71,412.226589,281.7678352,1.993284194,218.1251852,15.38461538,20,3.9
