,evap_flow,T_evap_in,cond_flow
0,415.226589,281.9273407,1
1,415.226589,281.9482727,1
2,217.3903135,281.5434604,0
3,217.3903135,281.590978,0
4,217.3903135,281.1905866,0
5,217.3903135,281.2371071,0
6,217.3903135,281.1512676,0
7,217.3903135,282.8885044,0
8,633.6169025,282.7386235,2
9,415.226589,283.0367395,1
10,633.6169025,282.8385543,2
11,1043.843491,282.1976896,2
12,1235.679767,282.2965123,3
13,1043.843491,282.2968793,2
14,1235.679767,282.2058068,3
15,1235.679767,282.3383764,3
16,1235.679767,282.2755803,3
17,1235.679767,282.3034897,3
18,1235.679767,282.2406935,3
19,1043.843491,282.2555503,2
20,1235.679767,282.2825576,3
21,1043.843491,282.0564269,2
22,1043.843491,282.1142876,2
23,633.6169025,282.0052965,2
